Remainder,Steps,Decision_Tree,Score,Success
35789101112,4,"['Step1: (1,2,3) (1,2)', 'Step2: (6) (6)', 'Step3: (4) (4)']",1,FALSE
12789101112,4,"['Step1: (4) (4)', 'Step2: (3,1) (3)', 'Step3: (5,6,11) (5,6)']",1,FALSE
124591112,5,"['Step1: (6,2,8) (8)', 'Step2: (6,3,9) (6,3)', 'Step3: (10) (10)', 'Step4: (7) (7)']",1,FALSE
391112,7,"['Step1: (6,4,10) (6,4)', 'Step2: (7) (7)', 'Step3: (2,3,5) (5)', 'Step4: (8) (8)', 'Step5: (10) (10)', 'Step6: (1,2,3) (1,2)']",4,FALSE
6791012,6,"['Step1: (4,5,9) (4,5)', 'Step2: (2,6,8) (8)', 'Step3: (11) (11)', 'Step4: (2,6) (2)', 'Step5: (3,1) (3,1)']",3,FALSE
3789101112,5,"['Step1: (2,3,5) (5)', 'Step2: (2) (2)', 'Step3: (1,6,7) (1,6)', 'Step4: (4) (4)']",1,FALSE
123678101112,3,"['Step1: (4,5,9) (9)', 'Step2: (5,4) (5,4)']",1,FALSE
1347101112,5,"['Step1: (8) (8)', 'Step2: (1,4,5) (5)', 'Step3: (9) (9)', 'Step4: (6,2) (6,2)']",1,FALSE
2389101112,5,"['Step1: (4,3,7) (7)', 'Step2: (6,1) (6,1)', 'Step3: (4) (4)', 'Step4: (5) (5)']",1,FALSE
15810,8,"['Step1: (4,3,7) (4,3)', 'Step2: (12) (12)', 'Step3: (6) (6)', 'Step4: (11) (11)', 'Step5: (7) (7)', 'Step6: (2,1) (2)', 'Step7: (9) (9)']",5,FALSE
4678101112,4,"['Step1: (4,5,9) (9)', 'Step2: (3,1,4) (3,1)', 'Step3: (2,5,7) (2,5)']",1,FALSE
469101112,5,"['Step1: (2,3,5) (2,3)', 'Step2: (8) (8)', 'Step3: (1,5,6) (1,5)', 'Step4: (7) (7)']",1,FALSE
13789101112,4,"['Step1: (6) (6)', 'Step2: (4,2) (4,2)', 'Step3: (5) (5)']",1,FALSE
241112,8,"['Step1: (6,4,10) (10)', 'Step2: (1,4,5) (5)', 'Step3: (7) (7)', 'Step4: (1,6) (1,6)', 'Step5: (3,4) (3)', 'Step6: (9) (9)', 'Step7: (8) (8)']",4,FALSE
135781011,5,"['Step1: (5,4,9) (9)', 'Step2: (2,4,6) (6)', 'Step3: (12) (12)', 'Step4: (2,4) (2,4)']",1,FALSE
123568101112,4,"['Step1: (4) (4)', 'Step2: (9) (9)', 'Step3: (6,1,7) (7)']",1,FALSE
123571012,6,"['Step1: (3,1,4) (4)', 'Step2: (8) (8)', 'Step3: (6) (6)', 'Step4: (11) (11)', 'Step5: (9) (9)']",1,FALSE
267891112,5,"['Step1: (4,1,5) (4,1)', 'Step2: (10) (10)', 'Step3: (3) (3)', 'Step4: (5) (5)']",1,FALSE
123457891112,3,"['Step1: (10) (10)', 'Step2: (5,1,6) (6)']",1,FALSE
1457912,6,"['Step1: (2) (2)', 'Step2: (5,6,11) (11)', 'Step3: (8) (8)', 'Step4: (6,3,9) (6,3)', 'Step5: (10) (10)']",3,FALSE
236789101112,3,"['Step1: (1,4,5) (5)', 'Step2: (1,4) (1,4)']",1,FALSE
4591011,7,"['Step1: (6,1,7) (6,1)', 'Step2: (2,4) (2)', 'Step3: (7) (7)', 'Step4: (8) (8)', 'Step5: (12) (12)', 'Step6: (3,5) (3)']",3,FALSE
