Remainder,Steps,Decision_Tree,Score,Num_Of_Choices_Made
16789101112,3,"['Step1: [(1, 6),(2, 5),(3, 4),7] (3, 4)', 'Step2: [(1, 6),(2, 5),7] (2, 5)']",1,0
21012,8,"['Step1: [(1, 8),(2, 7),(3, 6),(4, 5),9] (3, 6)', 'Step2: [(1, 4),5] (1, 4)', 'Step3: [(2, 5),7] 7', 'Step4: [5] 5', 'Step5: [(2, 9),11] 11', 'Step6: [8] 8', 'Step7: [9] 9']",5,0
349101112,5,"['Step1: [(1, 4),(2, 3),5] 5', 'Step2: [(1, 6),(3, 4),7] 7', 'Step3: [(2, 6),8] (2, 6)', 'Step4: [(1, 8),9] (1, 8)']",1,0
345791012,4,"['Step1: [(1, 8),(2, 7),(3, 6),(4, 5),9] (1, 8)', 'Step2: [(2, 9),(4, 7),(5, 6),11] 11', 'Step3: [(2, 6),(3, 5)] (2, 6)']",1,0
16789101112,3,"['Step1: [(1, 7),(2, 6),(3, 5),8] (3, 5)', 'Step2: [(2, 4),6] (2, 4)']",1,0
189101112,4,"['Step1: [(1, 9),(2, 8),(3, 7),(4, 6),10] (4, 6)', 'Step2: [(1, 9),(2, 8),(3, 7),10] (3, 7)', 'Step3: [(2, 5)]']",1,0
2468101112,5,"['Step1: [(1, 5),(2, 4),6] (1, 5)', 'Step2: [(2, 7),(3, 6),9] 9', 'Step3: [3] 3', 'Step4: [7] 7']",1,0
19101112,6,"['Step1: [(1, 4),(2, 3),5] (2, 3)', 'Step2: [(1, 9),(4, 6),10] (4, 6)', 'Step3: [(1, 7),8] 8', 'Step4: [7] 7', 'Step5: [5] 5']",2,0
156789101112,3,"['Step1: [(1, 5),(2, 4),6] (2, 4)', 'Step2: [3] 3']",1,0
9101112,5,"['Step1: [(1, 9),(2, 8),(3, 7),(4, 6),10] (3, 7)', 'Step2: [(1, 6),(2, 5)] (1, 6)', 'Step3: [(2, 5)]', 'Step4: [(4, 8),12] (4, 8)']",3,0
13589101112,3,"['Step1: [(1, 10),(2, 9),(3, 8),(4, 7),(5, 6),11] (4, 7)', 'Step2: [(2, 6),(3, 5),8] (2, 6)']",1,0
1789101112,4,"['Step1: [(1, 6),(2, 5),(3, 4),7] (2, 5)', 'Step2: [(1, 6),(3, 4),7] (3, 4)', 'Step3: [6] 6']",1,0
891112,6,"['Step1: [(1, 2),3] 3', 'Step2: [(1, 4),5] 5', 'Step3: [(1, 10),(2, 9),(4, 7),11] (1, 10)', 'Step4: [(2, 7),9] (2, 7)', 'Step5: [(4, 6)]']",4,0
