Remainder,Steps,Decision_Tree,Score,Num_Of_Choices_Made
235891112,5,"['Step1: (4) (4)', 'Step2: (1,6,7) (1,6)', 'Step3: (7) (7)', 'Step4: (10) (10)']",1,1
12891012,5,"['Step1: (5,6,11) (11)', 'Step2: (5,6) (5,6)', 'Step3: (3,4,7) (3,4)', 'Step4: (7) (7)']",2,2
12781012,6,"['Step1: (2,3,5) (5)', 'Step2: (11) (11)', 'Step3: (9) (9)', 'Step4: (1,3,4) (4)', 'Step5: (6,3) (6,3)']",2,2
1591012,6,"['Step1: (4,3,7) (7)', 'Step2: (3,5,8) (8)', 'Step3: (6,2) (6,2)', 'Step4: (3,4) (3,4)', 'Step5: (11) (11)']",3,2
29101112,6,"['Step1: (5,1,6) (6)', 'Step2: (3,4,7) (3,4)', 'Step3: (8) (8)', 'Step4: (1,5) (1,5)', 'Step5: (7) (7)']",2,2
3681112,7,"['Step1: (2) (2)', 'Step2: (4,1,5) (5)', 'Step3: (9) (9)', 'Step4: (7) (7)', 'Step5: (6,4,10) (10)', 'Step6: (1,4) (1,4)']",3,2
459101112,6,"['Step1: (6) (6)', 'Step2: (2,1,3) (3)', 'Step3: (2,1) (2,1)', 'Step4: (8) (8)', 'Step5: (7) (7)']",1,1
59101112,6,"['Step1: (6,3,9) (6,3)', 'Step2: (8) (8)', 'Step3: (7) (7)', 'Step4: (1,2) (1,2)', 'Step5: (4) (4)']",2,1
278101112,5,"['Step1: (6,3,9) (9)', 'Step2: (5,1,6) (5,1)', 'Step3: (3) (3)', 'Step4: (4,6,10) (4,6)']",1,3
379101112,5,"['Step1: (2,3,5) (5)', 'Step2: (2,6,8) (2,6)', 'Step3: (4,1) (4,1)', 'Step4: (8) (8)']",1,2
4579101112,4,"['Step1: (3,2,5) (3,2)', 'Step2: (6,1,7) (6,1)', 'Step3: (8) (8)']",1,2
45789101112,3,"['Step1: (6,3,9) (6,3)', 'Step2: (2,1) (2,1)']",1,1
3459101112,5,"['Step1: (2,1,3) (2,1)', 'Step2: (6) (6)', 'Step3: (3,5,8) (8)', 'Step4: (7) (7)']",1,2
12345789101112,2,"['Step1: (1,5,6) (6)']",1,1
13789101112,4,"['Step1: (2,6,8) (2,6)', 'Step2: (4) (4)', 'Step3: (5) (5)']",1,1
12679101112,4,"['Step1: (5,3,8) (8)', 'Step2: (3,5) (3,5)', 'Step3: (4) (4)']",1,1
25791112,6,"['Step1: (4) (4)', 'Step2: (10) (10)', 'Step3: (3,1) (3,1)', 'Step4: (8) (8)', 'Step5: (6) (6)']",2,0
245689101112,3,"['Step1: (2,5,7) (7)', 'Step2: (1,3,4) (1,3)']",1,2
7101112,7,"['Step1: (6) (6)', 'Step2: (5,4,9) (9)', 'Step3: (5,2,7) (5,2)', 'Step4: (3,1,4) (3,1)', 'Step5: (8) (8)', 'Step6: (4) (4)']",3,3
4789101112,4,"['Step1: (2,1,3) (2,1)', 'Step2: (5,6,11) (5,6)', 'Step3: (3) (3)']",1,2
127891012,5,"['Step1: (3,1,4) (4)', 'Step2: (6) (6)', 'Step3: (11) (11)', 'Step4: (5,3,8) (5,3)']",1,2
23458101112,4,"['Step1: (2,5,7) (7)', 'Step2: (6,1) (6,1)', 'Step3: (9) (9)']",1,1
16789101112,3,"['Step1: (5,3,8) (5,3)', 'Step2: (4,2,6) (4,2)']",1,2
381012,7,"['Step1: (1,6,7) (1,6)', 'Step2: (2,4) (2,4)', 'Step3: (11) (11)', 'Step4: (9) (9)', 'Step5: (5) (5)', 'Step6: (7) (7)']",4,1
1235789101112,3,"['Step1: (1,3,4) (4)', 'Step2: (6) (6)']",1,1
24671011,6,"['Step1: (1,5,6) (1,5)', 'Step2: (9) (9)', 'Step3: (3) (3)', 'Step4: (12) (12)', 'Step5: (8) (8)']",2,1
9,9,"['Step1: (12) (12)', 'Step2: (6,3,9) (6,3)', 'Step3: (10) (10)', 'Step4: (8) (8)', 'Step5: (2,5,7) (7)', 'Step6: (11) (11)', 'Step7: (2,5) (2,5)', 'Step8: (4,1) (4,1)']",9,2
691012,7,"['Step1: (6,1,7) (7)', 'Step2: (2,1,3) (3)', 'Step3: (4,2,6) (4,2)', 'Step4: (8) (8)', 'Step5: (1,5,6) (1,5)', 'Step6: (11) (11)']",4,4
12389101112,4,"['Step1: (6,5,11) (6,5)', 'Step2: (7) (7)', 'Step3: (4) (4)']",1,1
291112,8,"['Step1: (2,1,3) (3)', 'Step2: (10) (10)', 'Step3: (5,2,7) (7)', 'Step4: (5) (5)', 'Step5: (6) (6)', 'Step6: (8) (8)', 'Step7: (4,1) (4,1)']",4,2
12467910,5,"['Step1: (5,6,11) (11)', 'Step2: (3,5,8) (8)', 'Step3: (3,5) (3,5)', 'Step4: (12) (12)']",2,2
13671012,6,"['Step1: (5,4,9) (9)', 'Step2: (8) (8)', 'Step3: (2,4,6) (2,4)', 'Step4: (5) (5)', 'Step5: (11) (11)']",2,2
13489101112,5,"['Step1: (5,1,6) (6)', 'Step2: (4,1,5) (5)', 'Step3: (2) (2)', 'Step4: (4,3,7) (7)']",1,3
157891012,4,"['Step1: (3,6,9) (3,6)', 'Step2: (2,4) (2,4)', 'Step3: (11) (11)']",1,1
23891012,6,"['Step1: (1,6,7) (7)', 'Step2: (5,6,11) (11)', 'Step3: (1,4,5) (5)', 'Step4: (3,1,4) (4)', 'Step5: (1,6) (1,6)']",2,4
2345791012,4,"['Step1: (1,6,7) (1,6)', 'Step2: (11) (11)', 'Step3: (8) (8)']",1,1
12347101112,4,"['Step1: (5,4,9) (9)', 'Step2: (2,6,8) (8)', 'Step3: (5,6,11) (5,6)']",1,3
14789101112,4,"['Step1: (5,2,7) (5,2)', 'Step2: (3) (3)', 'Step3: (6) (6)']",1,1
125781112,5,"['Step1: (3,6,9) (3,6)', 'Step2: (9) (9)', 'Step3: (10) (10)', 'Step4: (4) (4)']",1,1
12345791112,4,"['Step1: (2,6,8) (8)', 'Step2: (2,4,6) (6)', 'Step3: (10) (10)']",1,2
51011,9,"['Step1: (6,2,8) (8)', 'Step2: (4,2,6) (6)', 'Step3: (3,4,7) (7)', 'Step4: (4,5,9) (9)', 'Step5: (2,1,3) (2,1)', 'Step6: (4) (4)', 'Step7: (12) (12)', 'Step8: (3) (3)']",5,5
